"sid","dv_type","card","guess","response","trial_type","card_type","guess_type","feedback","age_year","age_category"
"R_pRebBwJCsMg06hr","2","CAT","cat or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_XMlncvFZMNzywyl","2","CAT","cat or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_2wvFKstPoKqpIhU","2","CAT","cat or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_22EyFSyHXxWhtGV","2","CAT","cat or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_2Sqow4GHOO9f3UW","2","CAT","cat or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_12LxN8thYS88GIs","2","CAT","cat or elephant","Wrong","X.XorY","X","XorY",NA,NA,"Adults"
"R_3nvCocoP1SdFoXO","2","ELE","dog or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_3LZpuN0UHd5kwNB","2","ELE","dog or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_2ydQ4atCmeAS0jU","2","ELE","dog or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_2fcXoa0GtkNoMHG","2","ELE","dog or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_Bsuwbh4sgB76p5n","2","ELE","dog or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_1JKiNlOvl2mVmBL","2","ELE","dog or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_sd2ODlR8vbvRwBP","2","ELE","dog or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_2QQA63JKn2jvgz2","2","ELE","dog or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_4Mm9yTCRF4Lyz6N","2","ELE","dog or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_21BdkF8R9ZanrJX","2","ELE","cat or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_wMpePBM9JwpiUE1","2","ELE","cat or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_u9BtpXjv7Q0aWRz","2","ELE","cat or elephant","Wrong","X.XorY","X","XorY",NA,NA,"Adults"
"R_12u7hhVVqSRTi8P","2","ELE","cat or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_1mz7476FjMDNmIa","2","ELE","cat or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_sBEJh6Ax8aCVGwh","2","ELE","cat or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_31yEWRP17XAJyaI","2","ELE","cat or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_2uUtbmOtSmdzdO3","2","ELE","cat or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_BEPFplTjQlXwGtj","2","ELE","cat or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_1JKq02hBBUASEpb","2","ELE","cat or elephant","Right","X.XorY","X","XorY",NA,NA,"Adults"
"R_2R1zMgODbNnlyDL","2","CAT-DOG","cat or dog","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_3dG7Qub3CsmjEKm","2","CAT-DOG","cat or dog","Wrong","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_3LZpuN0UHd5kwNB","2","CAT-DOG","cat or dog","Wrong","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2ydQ4atCmeAS0jU","2","CAT-DOG","cat or dog","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_1q8Jj6MrnfvsOOo","2","CAT-DOG","cat or dog","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2rwppFqH2ONuqON","2","CAT-DOG","cat or dog","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2VBHPPewwAx8xyi","2","CAT-DOG","cat or dog","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_tKvR35bilO9r4Y1","2","CAT-DOG","cat or dog","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2awoOh0L5Lq4dj4","2","CAT-DOG","cat or dog","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_Bsuwbh4sgB76p5n","2","CAT-DOG","cat or dog","Wrong","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_Tdv3dOmvB1fcvQd","2","CAT-DOG","cat or dog","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_1DuHsw7B3l4rxqF","2","CAT-DOG","cat or dog","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2QQA63JKn2jvgz2","2","CAT-DOG","cat or dog","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_3HogFT08UeM6tOe","2","CAT-DOG","cat or dog","Wrong","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_1JKq02hBBUASEpb","2","CAT-DOG","cat or dog","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_12LxN8thYS88GIs","2","CAT-DOG","cat or dog","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_3nvCocoP1SdFoXO","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2R7CJyNKY6ziEyA","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2qy2hZ9tSdQcFaR","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_12u7hhVVqSRTi8P","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_12g6gtOPxS5pmYc","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_1mz7476FjMDNmIa","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2fcXoa0GtkNoMHG","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2UWY1wrXfSn4KWH","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_3nxu5zN3jgQJCsS","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_sBEJh6Ax8aCVGwh","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_XMlncvFZMNzywyl","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_urojYTWSe1I8EbD","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2wvFKstPoKqpIhU","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_5j9hLQZtwwDdVZv","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_31yEWRP17XAJyaI","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_1JKiNlOvl2mVmBL","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_sd2ODlR8vbvRwBP","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_22EyFSyHXxWhtGV","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_3lPlz5r8FjllBy4","2","DOG-ELE","dog or elephant","Wrong","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_BEPFplTjQlXwGtj","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_3gOe3z8riA2iG9H","2","DOG-ELE","dog or elephant","Wrong","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_4Mm9yTCRF4Lyz6N","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_3qK9IohKTLUJszn","2","DOG-ELE","dog or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_21BdkF8R9ZanrJX","2","CAT-ELE","cat or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2aqtW1FA28wdRqr","2","CAT-ELE","cat or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2P23t9YYcr6XcfU","2","CAT-ELE","cat or elephant","Wrong","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_wMpePBM9JwpiUE1","2","CAT-ELE","cat or elephant","Wrong","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2DY98iH4PxKnnCs","2","CAT-ELE","cat or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_33rSscJtBWfuBwR","2","CAT-ELE","cat or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_u9BtpXjv7Q0aWRz","2","CAT-ELE","cat or elephant","Wrong","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2eWmnTzo3hfQfhi","2","CAT-ELE","cat or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_1r1VIwYHi8Kka70","2","CAT-ELE","cat or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_pRebBwJCsMg06hr","2","CAT-ELE","cat or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2U4X2a3YxJ1FhTb","2","CAT-ELE","cat or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2sSCCUY3QDGz0JJ","2","CAT-ELE","cat or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_3HzZQisMxCV4Q9Y","2","CAT-ELE","cat or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2uUtbmOtSmdzdO3","2","CAT-ELE","cat or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_bgCAAUyoTvV5LX3","2","CAT-ELE","cat or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2Sqow4GHOO9f3UW","2","CAT-ELE","cat or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_2fKfngu9iRlAbo1","2","CAT-ELE","cat or elephant","Wrong","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_1Fs7Qm16OKUt2HC","2","CAT-ELE","cat or elephant","Right","XY.XorY","XY","XorY",NA,NA,"Adults"
"R_21BdkF8R9ZanrJX","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2aqtW1FA28wdRqr","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2P23t9YYcr6XcfU","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_wMpePBM9JwpiUE1","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3nvCocoP1SdFoXO","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2R7CJyNKY6ziEyA","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2R1zMgODbNnlyDL","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2DY98iH4PxKnnCs","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2qy2hZ9tSdQcFaR","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_33rSscJtBWfuBwR","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3dG7Qub3CsmjEKm","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_u9BtpXjv7Q0aWRz","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3LZpuN0UHd5kwNB","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2eWmnTzo3hfQfhi","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_12u7hhVVqSRTi8P","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2ydQ4atCmeAS0jU","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1r1VIwYHi8Kka70","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_12g6gtOPxS5pmYc","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1q8Jj6MrnfvsOOo","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1mz7476FjMDNmIa","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2rwppFqH2ONuqON","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2fcXoa0GtkNoMHG","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2VBHPPewwAx8xyi","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_pRebBwJCsMg06hr","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_tKvR35bilO9r4Y1","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2UWY1wrXfSn4KWH","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2awoOh0L5Lq4dj4","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_Bsuwbh4sgB76p5n","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2U4X2a3YxJ1FhTb","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3nxu5zN3jgQJCsS","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_Tdv3dOmvB1fcvQd","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_sBEJh6Ax8aCVGwh","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_XMlncvFZMNzywyl","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_urojYTWSe1I8EbD","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2wvFKstPoKqpIhU","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_5j9hLQZtwwDdVZv","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_31yEWRP17XAJyaI","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1JKiNlOvl2mVmBL","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2sSCCUY3QDGz0JJ","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_sd2ODlR8vbvRwBP","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3HzZQisMxCV4Q9Y","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2uUtbmOtSmdzdO3","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_22EyFSyHXxWhtGV","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1DuHsw7B3l4rxqF","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3lPlz5r8FjllBy4","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_BEPFplTjQlXwGtj","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2QQA63JKn2jvgz2","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_bgCAAUyoTvV5LX3","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2Sqow4GHOO9f3UW","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3HogFT08UeM6tOe","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2fKfngu9iRlAbo1","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3gOe3z8riA2iG9H","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_4Mm9yTCRF4Lyz6N","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1JKq02hBBUASEpb","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3qK9IohKTLUJszn","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_12LxN8thYS88GIs","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1Fs7Qm16OKUt2HC","2","CAT-DOG","elephant","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_21BdkF8R9ZanrJX","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2aqtW1FA28wdRqr","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2P23t9YYcr6XcfU","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_wMpePBM9JwpiUE1","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3nvCocoP1SdFoXO","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2R7CJyNKY6ziEyA","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2R1zMgODbNnlyDL","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2DY98iH4PxKnnCs","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2qy2hZ9tSdQcFaR","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_33rSscJtBWfuBwR","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3dG7Qub3CsmjEKm","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_u9BtpXjv7Q0aWRz","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3LZpuN0UHd5kwNB","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2eWmnTzo3hfQfhi","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_12u7hhVVqSRTi8P","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2ydQ4atCmeAS0jU","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1r1VIwYHi8Kka70","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_12g6gtOPxS5pmYc","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1q8Jj6MrnfvsOOo","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1mz7476FjMDNmIa","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2rwppFqH2ONuqON","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2fcXoa0GtkNoMHG","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2VBHPPewwAx8xyi","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_pRebBwJCsMg06hr","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_tKvR35bilO9r4Y1","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2UWY1wrXfSn4KWH","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2awoOh0L5Lq4dj4","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_Bsuwbh4sgB76p5n","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2U4X2a3YxJ1FhTb","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3nxu5zN3jgQJCsS","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_Tdv3dOmvB1fcvQd","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_sBEJh6Ax8aCVGwh","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_XMlncvFZMNzywyl","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_urojYTWSe1I8EbD","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2wvFKstPoKqpIhU","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_5j9hLQZtwwDdVZv","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_31yEWRP17XAJyaI","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1JKiNlOvl2mVmBL","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2sSCCUY3QDGz0JJ","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_sd2ODlR8vbvRwBP","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3HzZQisMxCV4Q9Y","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2uUtbmOtSmdzdO3","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_22EyFSyHXxWhtGV","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1DuHsw7B3l4rxqF","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3lPlz5r8FjllBy4","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_BEPFplTjQlXwGtj","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2QQA63JKn2jvgz2","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_bgCAAUyoTvV5LX3","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2Sqow4GHOO9f3UW","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3HogFT08UeM6tOe","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2fKfngu9iRlAbo1","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3gOe3z8riA2iG9H","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_4Mm9yTCRF4Lyz6N","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1JKq02hBBUASEpb","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3qK9IohKTLUJszn","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_12LxN8thYS88GIs","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1Fs7Qm16OKUt2HC","2","DOG-ELE","cat","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_21BdkF8R9ZanrJX","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2aqtW1FA28wdRqr","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2P23t9YYcr6XcfU","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_wMpePBM9JwpiUE1","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3nvCocoP1SdFoXO","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2R7CJyNKY6ziEyA","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2R1zMgODbNnlyDL","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2DY98iH4PxKnnCs","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2qy2hZ9tSdQcFaR","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_33rSscJtBWfuBwR","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3dG7Qub3CsmjEKm","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_u9BtpXjv7Q0aWRz","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3LZpuN0UHd5kwNB","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2eWmnTzo3hfQfhi","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_12u7hhVVqSRTi8P","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2ydQ4atCmeAS0jU","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1r1VIwYHi8Kka70","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_12g6gtOPxS5pmYc","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1q8Jj6MrnfvsOOo","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_1mz7476FjMDNmIa","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2rwppFqH2ONuqON","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2fcXoa0GtkNoMHG","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2VBHPPewwAx8xyi","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_pRebBwJCsMg06hr","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_tKvR35bilO9r4Y1","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2UWY1wrXfSn4KWH","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2awoOh0L5Lq4dj4","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_Bsuwbh4sgB76p5n","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_2U4X2a3YxJ1FhTb","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
"R_3nxu5zN3jgQJCsS","2","CAT-ELE","dog","Wrong","XY.Z","XY","Z",NA,NA,"Adults"
